0.wav,ay_er_iy_ah_iy
1.wav,ih_iy_ay_ih_uw
2.wav,ow_ih_uw_ah_ow
3.wav,ah_iy_ih_ow_ay
4.wav,uw_ih_uw_ay_ey
5.wav,ey_ih_er_aw_er
6.wav,iy_ey_ay_ow_ah
7.wav,ao_aw_ay_ay_ae
8.wav,eh_er_ah_uw_aa
9.wav,er_ay_ah_eh_aw
10.wav,p_aa_r_k_d_aa_r_y_aa_l
11.wav,k_aa_r_v_w_aa_ch_l_aa_r_jh
12.wav,z_aa_n_ch_aa_r_m_f_aa_r
13.wav,g_aa_t_hh_aa_r_t_t_aa_n
14.wav,aa_r_m_d_jh_aa_k_hh_aa_s
15.wav,m_aa_b_s_aa_l_v_s_aa_f_t
16.wav,l_aa_r_m_w_aa_d_d_r_aa_p
17.wav,n_aa_k_q_aa_z_b_aa_m
18.wav,s_k_ae_n_dh_ae_t_m_ae_n_s
19.wav,hh_ae_v_b_ae_k_t_ae_d_z
20.wav,l_ae_f_s_g_r_ae_s_y_ae_m
21.wav,jh_ae_ng_f_ae_k_t_th_ae_ng_k_s
22.wav,s_ae_ng_y_ae_m_k_q_ae_sh_t
23.wav,d_ae_l_y_ae_ng_s_k_ae_l_p
24.wav,g_l_ae_n_n_ae_p_ae_z
25.wav,k_ah_m_z_p_ah_r_ah_sh
26.wav,t_ah_ng_ah_hh_ah_n_t
27.wav,p_r_ah_w_ah_s_m_ah_ng
28.wav,ch_ah_ng_b_ah_th_ah_n
29.wav,g_ah_dh_ah_jh_ah_n_t
30.wav,z_ah_m_n_y_ah_d_ah_ch
31.wav,dh_ah_s_ah_t_n_ah_l_z
32.wav,k_ah_p_s_f_l_ah_b_ah_v
33.wav,sh_ah_f_f_ah_k_sh_ah_z
34.wav,v_ah_l_dh_q_ah_m_hh_ah_g_z
35.wav,s_p_ao_r_t_s_hh_ao_l_r_ao_ng_d
36.wav,s_k_ao_r_l_ao_f_ao_r_b_z
37.wav,t_ao_k_t_f_ao_r_d_y_ao_l
38.wav,q_ao_r_p_s_n_ao_r_th_d_ao_r_d
39.wav,th_ao_t_s_ao_ng_z_g_l_ao_s_t
40.wav,w_ao_r_m_th_b_ao_l_g_ao_r
41.wav,r_ao_ng_m_ao_n_w_ao_r_n_d
42.wav,b_aw_z_m_aw_dh_z_dh_aw
43.wav,t_aw_n_p_r_aw_l_l_aw_d
44.wav,f_aw_l_k_q_aw_z_th_aw_t
45.wav,n_aw_n_hh_aw_s_d_aw_t
46.wav,z_ay_g_ay_hh_ay_n_d
47.wav,q_ay_m_m_ay_t_r_ay_k_s
48.wav,f_ay_s_s_l_ay_w_ay_f
49.wav,d_ay_d_s_t_ay_l_n_ay_n_th
50.wav,k_r_ay_b_s_k_ay_r_ay_p_s
51.wav,v_ay_v_d_s_ay_n_b_ay_z
52.wav,p_ay_jh_ay_sh_ay_n
